Commodity,<25,<50,<75,<100,<125,<150,<175,<200,<225,<250,<275,<300,>300
Agricultural products,1,1.235294118,0.764705882,0.764705882,0.470588235,0.470588235,0.264705882,0.264705882,0.132352941,0.132352941,0.132352941,0.132352941,0.294117647
Beverages,1,1.2,0.8,0.8,0.5,0.5,0.4,0.4,0.2,0.2,0.2,0.2,0.6
Other foodstuffs,1,1.21875,0.9375,0.9375,0.59375,0.59375,0.484375,0.484375,0.2421875,0.2421875,0.2421875,0.2421875,0.4375
"Wood, timber and cork",1,0.833333333,0.666666667,0.666666667,0.416666667,0.416666667,0.166666667,0.166666667,0.083333333,0.083333333,0.083333333,0.083333333,0.5
"Sand, gravel and clay",1,1.130434783,0.260869565,0.260869565,0.086956522,0.086956522,0.02173913,0.02173913,0.010869565,0.010869565,0.010869565,0.010869565,0.043478261
Other crude minerals,1,0.796875,0.265625,0.265625,0.078125,0.078125,0.0234375,0.0234375,0.015625,0.015625,0.015625,0.015625,0.03125
Ores,1,0.6,0.4,0.4,0.2,0.2,0.1,0.1,0.05,0.05,0.05,0.05,0
Crude materials,1,0.5,0.333333333,0.333333333,0.25,0.25,0.166666667,0.166666667,0.083333333,0.083333333,0.083333333,0.083333333,0.333333333
Coal and Coke,1,1,0.5,0.5,0.5,0.5,0.25,0.25,0.125,0.125,0.125,0.125,0.5
Cements,1,0.209302326,0.046511628,0.046511628,0.034883721,0.034883721,0.023255814,0.023255814,0.011627907,0.011627907,0.011627907,0.011627907,0.023255814
Other building materials,1,0.6,0.28,0.28,0.14,0.14,0.1,0.1,0.07,0.07,0.07,0.07,0.12
Iron and steel products,1,0.428571429,0.357142857,0.357142857,0.214285714,0.214285714,0.214285714,0.214285714,0.142857143,0.142857143,0.142857143,0.142857143,0.428571429
Fertiliser,1,0.888888889,0.333333333,0.333333333,0.111111111,0.111111111,0.055555556,0.055555556,0.027777778,0.027777778,0.027777778,0.027777778,0.111111111
Petrol and petroleum products,1,1.777777778,1.222222222,1.222222222,0.666666667,0.666666667,0.277777778,0.277777778,0.083333333,0.083333333,0.083333333,0.083333333,0.222222222
Chemicals,1,0.666666667,0.5,0.5,0.333333333,0.333333333,0.416666667,0.416666667,0.208333333,0.208333333,0.208333333,0.208333333,0.666666667
Other metal products n.e.s,1,0.5,0.25,0.25,0.166666667,0.166666667,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.166666667
Machinery and transport equip.,1,0.666666667,0.5,0.5,0.266666667,0.266666667,0.2,0.2,0.15,0.15,0.15,0.15,0.266666667
Misc manufactures,1,0.9,0.7,0.7,0.6,0.6,0.5,0.5,0.325,0.325,0.325,0.325,0.7
Misc articles,1,0.63,0.32,0.32,0.18,0.18,0.115,0.115,0.07,0.07,0.07,0.07,0.15
